"노선번호","기점","경유지","종점","기점출발","종점출발","저상운행"
"110","보은","강산⇒중동⇒학림⇒세거리⇒서지⇒두평⇒이원⇒상궁⇒아곡⇒ 대안⇒창리⇒봉황⇒운암⇒성대","미 원","07:00,08:00,10:00,11:00,12:00, 14:00,17:00,18:00,19:00","07:40,08:40,10:40,11:40,12:40, 14:40,17:40,18:40,19:35","N"
"111","보은","강산⇒중동⇒학림⇒세거리⇒서지⇒두평⇒이원⇒상궁⇒ 아곡삼거리⇒성티⇒창리⇒봉황⇒운암⇒성대","성 티 미 원","09:00,13:00,16:00","09:40,13:40,16:40","N"
"120","보은","강산⇒중동⇒학림⇒세거리⇒서지⇒두평⇒이원⇒상궁⇒아곡⇒대안⇒한화⇒법주⇒한화⇒창리⇒봉황","법 주 봉 황","06:45 법주 경유","07:20","N"
"121","보은","강산⇒중동⇒학림⇒세거리⇒서지⇒두평⇒이원⇒상궁⇒아곡⇒대안⇒한화⇒법주⇒한화⇒창리⇒봉황","봉 황 법 주","15:00","15:30 법주 경유","N"
"130","보은","강산⇒중동⇒학림⇒세거리⇒서지⇒두평⇒이원⇒상궁⇒하궁⇒세촌⇒용수","하 궁 세 촌 용 수","08:15 주말,휴일 운행","08:40 세촌,용수 경유 / 주말,휴일운행","N"
"131","보은","강산⇒중동⇒학림⇒세거리⇒서지⇒두평⇒이원⇒상궁⇒용수⇒세촌⇒하궁","용 수 세 촌 하 궁","12:20,15:20 용수,세촌 경유 / 주말,휴일 운행","12:50,15:50 주말,휴일 운행","N"
"310","보은","강산⇒중동⇒학림⇒세거리⇒아시⇒구티⇒탁주⇒원평⇒장갑⇒신정⇒대원⇒화평","용 화","06:40,09:10,11:10,13:10,15:10 17:10,19:10","07:05,09:50,11:50,13:50,15:50 17:50,19:40","N"
"311","보은","강산⇒중동⇒학림⇒세거리⇒아시⇒구티⇒탁주⇒원평⇒장갑⇒신정⇒대원⇒화평","용 화 산 대","06:40","07:05 원평,오대,산대 경유","N"
"320","보은","강산⇒중동⇒학림⇒세거리⇒아시⇒구티⇒탁주⇒원평⇒장갑⇒신정⇒대원⇒화평⇒용화","용 화 중 벌","08:10,10:10,12:10,14:10,16:10 18:10","08:50,10:50,12:50,14:50,16:50 18:50","N"
"321","보은","강산⇒중동⇒학림⇒세거리⇒아시⇒구티⇒탁주⇒원평⇒장갑⇒신정⇒대원⇒화평⇒용화","산 대 용 화 중 벌","18:10 산대,오대, 원평 경유","18:50","N"
"330","보은","강산⇒중동⇒학림⇒세거리⇒아시⇒구티⇒길탕⇒탕골⇒중티⇒이식2⇒이식1⇒가고⇒오대","길 탕 원 평","11:40,14:40,17:40 11:40, 14:40 오대리 경유","12:25,15:25,18:25","Y"
"331","보은","강산⇒중동⇒학림⇒세거리⇒아시⇒구티⇒길탕⇒탕골⇒중티⇒이식2⇒이식2⇒가고⇒오대","길 탕 원 평 산 대","08:40","09:25 오대리 경유 산대 경유","N"
"340","보은","강산⇒학림⇒세거리⇒아시⇒구티⇒길탕⇒산대1⇒산대2⇒ 중티⇒이식2⇒이식1⇒어온⇒봉황⇒창리⇒적음","이 식 창 리 적 음","09:55,12:55 이식,창리,적음","10:25,13:25","Y"
"341","보은","강산⇒학림⇒세거리⇒아시⇒구티⇒길탕⇒산대1⇒산대2⇒ 중티⇒이식2⇒이식2⇒어온⇒봉황⇒적음⇒창리","이 식 적 음 창 리","15:55,18:40 이식,적음,창리","16:25,19:20","N"
"342","보은","강산⇒학림⇒세거리⇒아시⇒구티⇒길탕⇒산대1⇒산대2⇒ 중티⇒이식2⇒이식3⇒어온⇒봉황⇒창리⇒적음","이 식 가 고 창 리","06:35 이식,가고,창리,적음 운행","07:05","N"
"140","보은","장신⇒후평⇒교암⇒동정⇒차정⇒율산⇒하궁⇒세촌⇒용수⇒ 상궁⇒아곡⇒대안⇒화전2⇒창리","봉 황","08:30,12:00,15:30 평일 운행","09:30,12:00,16:30 평일 운행","N"
"610","보은","발산⇒수한⇒묘서⇒거현⇒휴게소⇒동대⇒정방⇒안내⇒인포리⇒장계⇒소청⇒석호⇒국원","옥 천","07:05,09:20,11:20,13:20,15:20 17:20,18:00","08:15,10:15,12:15,14:15,16:15 18:15,19:00","Y"
"612","보은","발산⇒수한⇒묘서⇒버드쟁이","수 한 거 현","07:35","07:50 동진휴게소 회차(07:50) 학생수송","N"
"620","보은","보은⇒후평⇒교암⇒광촌⇒거현1⇒선곡1⇒송죽⇒금굴⇒보은","거 현","13:40,16:40 교암,광촌 경유","14:00,17:00","Y"
"621","보은","보은⇒금굴⇒선곡1⇒거현1⇒광촌⇒교암⇒후평⇒보은","거 현","08:40,10:40 금굴,선곡1 경유","08:55,11:00","N"
"630","보은","후평⇒교암⇒저수지⇒동정⇒새터⇒오정⇒장선⇒질신","질 신","06:50,10:20,15:00,19:00","07:10,10:40,15:20,19:20","N"
"810","보은","장신⇒후평⇒교암⇒동정⇒차정⇒수리티재⇒상건천⇒건천⇒ 송평⇒회인⇒늘곡⇒죽암⇒신대⇒용곡⇒신추⇒금곡⇒회남⇒ 남대문⇒신곡⇒대교","송 평 어부동","10:30","11:20,회남 11:40,회인","N"
"813","보은","장신⇒후평⇒교암⇒동정⇒차정⇒수리티재⇒상건천⇒건천⇒ 송평⇒회인⇒늘곡⇒죽암⇒신대⇒용곡⇒신추⇒금곡⇒회남⇒ 남대문⇒신곡⇒대교","어부동","18:30","19:10,회남 19:30,회인","N"
"811","보은","장신⇒후평⇒교암⇒동정⇒차정⇒수리티재⇒상건천⇒건천⇒ 송평⇒회인⇒늘곡⇒죽암⇒신대⇒용곡⇒신추⇒금곡⇒회남⇒ 남대문⇒신곡⇒대교","남대문 어부동","08:15","09:05,회남 09:20,회인","N"
"812","보은","장신⇒후평⇒교암⇒동정⇒차정⇒수리티재⇒상건천⇒건천⇒ 송평⇒회인⇒늘곡⇒죽암⇒신대⇒용곡⇒신추⇒금곡⇒회남⇒ 남대문⇒신곡⇒대교","애 곡 남대문 어부동","14:30 애곡 경유","15:30,회남 15:45,회인","N"
"830","보은","장신⇒후평⇒교암⇒동정⇒차정⇒수리티재⇒상건천⇒건천⇒ 탄광⇒송평⇒회인⇒용촌⇒오동⇒고석⇒신문⇒고석⇒쌍암1⇒ 쌍암2","쌍암3 신문리","06:35","07:05,신문 07:20,회인","N"
"831","보은","장신⇒후평⇒교암⇒동정⇒차정⇒수리티재⇒상건천⇒건천⇒ 탄광⇒송평⇒회인⇒용촌⇒오동⇒고석⇒신문⇒고석⇒쌍암1⇒ 쌍암3","신문리 쌍암3","13:30,17:30","14:10,18:10,쌍암 14:20,18:20,회인","N"
"832","보은","장신⇒후평⇒교암⇒동정⇒차정⇒수리티재⇒상건천⇒건천⇒ 탄광⇒송평⇒회인⇒용촌⇒오동⇒고석⇒신문⇒고석⇒쌍암1⇒ 쌍암4","쌍암3 신문리 애 곡","09:30","10:25 애곡 경유","N"
"820","보은","장신⇒후평⇒교암⇒동정⇒차정⇒수리티재⇒상건천⇒건천⇒ 송평⇒회인⇒늘곡⇒죽암⇒신대⇒용곡1,2⇒신추⇒금곡⇒회남⇒판장","분 저 용 곡","06:40","07:35,회남 08:00,회인","N"
"821","보은","장신⇒후평⇒교암⇒동정⇒차정⇒수리티재⇒상건천⇒건천⇒ 송평⇒회인⇒늘곡⇒죽암⇒신대⇒용곡1,2⇒신추⇒금곡⇒회남⇒판장","용 곡 분 저","12:30,16:30","13:20,회남 13:40,회인","N"
"840","보은","장신⇒후평⇒교암⇒동정⇒차정⇒율산⇒차정⇒노성⇒용촌⇒ 답양","은 운 노 성 율 산","09:00 주말,휴일 운행","09:40 주말,휴일 운행","N"
"841","보은","장신⇒후평⇒교암⇒동정⇒차정⇒율산⇒차정⇒노성⇒용촌⇒ 답양","율 산 노 성 은 운","11:30,15:30 주말,휴일 운행","12:10,16:15 주말,휴일 운행","N"
"843","보은","장신⇒후평⇒교암⇒동정⇒차정⇒노성⇒용촌⇒답양","노 성 은 운","09:00,11:30,15:30 평일 운행","09:40,12:10,16:15 평일 운행","N"
"842","보은","장신⇒후평⇒교암⇒동정⇒차정⇒율산1","율산 1 산척리","07:15,13:10,18:10","07:35,13:30,18:30","N"
"960","보은","장신⇒후평⇒수한면사무소⇒발산⇒성리종점⇒발산⇒ 수한면사무소⇒후평⇒장신⇒우회도로⇒D마트⇒터미널","발 산 성 리","08:00,11:30,15:00 평일 운행","08:10,11:40,15:10 평일 운행","N"
"210","보은","누청⇒구인⇒길상⇒장안⇒상장⇒임한⇒관기⇒송현⇒갈평⇒ 적암⇒도계⇒평온⇒상용","화 령","08:55,12:55","09:40,13:40","N"
"214","보은","누청⇒구인⇒길상⇒장안⇒상장⇒우진플라임⇒불목⇒수문⇒ 관기⇒송현⇒적암⇒도계⇒평온","우진플라임화 령","06:55,16:55,18:55","07:40,17:40,19:30","N"
"216","보은","누청⇒구인⇒길상⇒장안⇒상장⇒봉비⇒우진플라임⇒불목⇒ 수문⇒관기⇒송현⇒적암⇒도계⇒평온","봉비 우진플라임 화 령","10:55,14:55","11:40,15:40","N"
"211","보은","누청⇒구인⇒길상⇒장안⇒상장⇒임한⇒관기⇒송현⇒갈평","적 암","09:55,13:55,17:55 상장 경유","10:30,14:30,18:25 상장 경유","N"
"212","보은","누청⇒구인⇒길상⇒장안⇒상장⇒임한⇒관기⇒송현⇒갈평","갈 평 적 암","06:35 상장 미경유","07:00 상장 미경유","N"
"215","보은","누청⇒구인⇒길상⇒장안⇒상장⇒임한⇒관기⇒송현⇒갈평⇒ 임곡삼거리⇒적암⇒임곡입구","적 암 임 곡","07:55 상장 경유-적암 경유","08:30 상장 경유","N"
"213","보은","누청⇒구인⇒길상⇒장안⇒상장⇒임한⇒관기⇒송현⇒갈평","임 곡","11:55,15:55 상장 경유","12:30,16:30 상장 경유","N"
"220","보은","누청⇒대야⇒구인⇒길상⇒장내⇒상장⇒임한⇒관기⇒소여⇒ 기대⇒오천⇒원정⇒세중⇒변둔⇒한중","중 눌","09:25","10:15","N"
"221","보은","누청⇒대야⇒구인⇒길상⇒장내⇒상장⇒임한⇒관기⇒소여⇒ 기대⇒오천⇒원정⇒세중⇒변둔⇒한중","백록동 중 눌","07:10,10:25,13:25,16:25 백록동 경유","07:55,11:15,14:15,17:15","N"
"222","보은","누청⇒대야⇒구인⇒길상⇒장내⇒상장⇒임한⇒관기⇒소여⇒ 기대⇒오천⇒원정⇒세중⇒변둔⇒한중","갈 전 중 눌","12:25,15:25,18:25 갈전 경유","13:15,16:15,19:05","N"
"223","보은","누청⇒대야⇒구인⇒길상⇒장내⇒상장⇒임한⇒관기⇒소여⇒ 기대⇒오천⇒원정⇒세중⇒변둔⇒한중","중 눌 갈 전","06:30","07:05 갈전 경유","N"
"224","보은","누청⇒대야⇒구인⇒길상⇒장내⇒상장⇒임한⇒관기⇒소여⇒ 기대⇒오천⇒원정⇒세중⇒변둔⇒한중","오 천 중 눌","11:25,14:25,17:25 오천 경유","12:15,15:15,18:15","N"
"226","보은","누청⇒대야⇒구인⇒길상⇒장내⇒상장⇒임한⇒관기⇒소여⇒ 기대⇒오천⇒원정⇒세중⇒변둔⇒한중","갈 전 중 눌 오 천","08:25 갈전 경유","09:15 오천 경유","N"
"710","보은","수정⇒금굴⇒고승⇒매화⇒경상⇒장암⇒덕동⇒벽지⇒하장⇒ 당우리⇒관기","소 여","13:35,17:35","14:10,18:10","N"
"711","보은","수정⇒금굴⇒고승⇒매화⇒경상⇒장암⇒덕동⇒벽지⇒하장⇒ 당우리⇒관기","대 양 소 여","06:30","07:00","N"
"712","보은","수정⇒금굴⇒고승⇒매화⇒경상⇒장암⇒덕동⇒벽지⇒하장⇒ 당우리⇒관기","석 화 소 여","09:35","10:10","N"
"720","보은","수정⇒금굴⇒고승⇒매화⇒경상⇒장암⇒덕동⇒벽지⇒하장⇒ 당우리⇒관기⇒송현","갈 평","10:35","11:05","N"
"721","보은","수정⇒금굴⇒고승⇒매화⇒경상⇒장암⇒덕동⇒벽지⇒하장⇒ 당우리⇒관기⇒송현","석 화 갈 평","08:15,12:35,15:35,19:00 08:15, 19:00 대양 경유","08:50,13:05,16:05,19:30,","N"
"731","보은","수정⇒금굴⇒고승⇒매화⇒경상⇒장암⇒덕동⇒벽지⇒하장⇒ 당우리⇒관기","대 양 송 현","11:35,14:35,16:35","12:05,15:05,17:05","N"
"740","보은","수정⇒금굴1⇒금굴2⇒사직⇒매화⇒상매화⇒평각1⇒평각","평 각","08:50,13:00,19:00","09:05,13:15,19:15","N"
"741","보은","수정⇒금굴1⇒금굴2⇒사직⇒매화⇒상매화⇒평각2⇒평각","석 화 평 각","07:00","07:15","N"
"931","보은","D마트⇒주공A⇒월송1,2⇒고승⇒장암2⇒달산2⇒천남2⇒성지⇒덕동교⇒덕동1⇒장암1,2⇒고승리⇒월송2.1⇒주공A⇒D마트","월송 2 성지리","17:00","17:20","N"
"933","보은","D마트⇒주공A⇒월송1,2⇒고승⇒장암2⇒달산2⇒천남2⇒성지⇒덕동교⇒하장⇒구암⇒하장⇒덕동1⇒장암1,2⇒고승리⇒ 월송2.2⇒주공A⇒D마트","월송 2 성지리 구암리","08:20,12:20","08:40,12:40","N"
"510","보은","누청⇒대야⇒오창⇒장재⇒말티휴양림⇒갈목⇒상판⇒전말⇒ 중판⇒하판⇒북암⇒백현","백 석","12:20,16:20","13:00,17:00","N"
"511","보은","누청⇒대야⇒오창⇒장재⇒말티휴양림⇒갈목⇒상판⇒호텔⇒ 상판⇒전말⇒중판⇒하판⇒북암⇒백현","호 텔 백 석","08:10 속리산 경유","09:00","N"
"520","보은","누청⇒대야⇒오창⇒장재⇒말티휴양림⇒갈목⇒상판⇒전말⇒ 중판⇒하판⇒북암⇒백현⇒백석⇒문암⇒구티⇒아시⇒세거리⇒학림⇒강산","백 석 문 암 보 은","10:20,14:20,18:30","11:00,15:00,19:10","N"
"521","보은","강산⇒학림⇒세거리⇒아시⇒구티⇒문암⇒백석⇒백현⇒상판⇒호텔⇒상판⇒갈목⇒말티휴양림⇒장재⇒오창⇒대야⇒누청","산 외 백 석 보 은","06:40 산외 경유","07:15 속리산 경유","N"
"530","보은","누청⇒대야⇒오창⇒장재⇒장안⇒봉비⇒서원⇒황해동⇒ 갈목고개⇒삼가⇒대목⇒만수⇒","도 화 만 수 구 병 봉 비","06:30","07:15","N"
"531","보은","누청⇒대야⇒오창⇒장재⇒장안⇒봉비⇒서원⇒황해동⇒ 갈목고개⇒삼가⇒대목⇒만수⇒","구 병 만 수 도 화 봉 비","08:00","08:50","N"
"532","보은","누청⇒대야⇒오창⇒장재⇒장안⇒봉비⇒서원⇒황해동⇒ 갈목고개⇒삼가⇒대목⇒만수⇒","봉 비 도 화 만 수 구 병","12:10,17:25","13:10,18:20","N"
"540","보은","누청⇒동학터널⇒상판⇒사내리⇒갈목⇒도화⇒만수⇒구병⇒ 삼가⇒갈목⇒상판⇒사내리⇒동학터널⇒누청","속 리 구 병","08:30,12:00,15:30 평일 운행","10:00,13:30,17:00 평일 운행","N"
"410","보은","수정⇒금굴1⇒금굴2⇒송죽⇒상가⇒서원⇒원남⇒두능⇒능월⇒화성⇒화동⇒청성","청 산","06:50,09:00,10:00,11:00,12:00, 14:00,15:00,16:00,17:00,18:00, 19:00","07:25,09:45,10:45,11:45,12:45, 14:45,15:45,16:45,17:45,18:45, 19:35","Y"
"420","보은","수정⇒금굴1⇒송죽⇒상가⇒서원⇒원남⇒두능⇒능월⇒화성⇒양촌⇒거포⇒점동","구 음","08:00,13:00","08:00,13:00","N"
"430","보은","수정⇒금굴⇒송죽⇒달산⇒천남⇒내망⇒원남⇒내망⇒천남⇒ 달산⇒송죽⇒선곡2⇒둔덕⇒지산⇒수정","금 굴 천 남","06:55","07:10","N"
"431","보은","수정⇒지산⇒둔덕⇒선곡2⇒송죽⇒달산⇒천남⇒내망","지 산 천 남 원 남","09:30,13:30,15:30,19:00","09:50,13:50,15:50,19:20","N"
"432","보은","수정⇒지산⇒둔덕⇒선곡2⇒송죽⇒달산⇒천남⇒내망⇒원남⇒서원⇒상가⇒송죽⇒선곡2⇒둔덕⇒지산","천 남 원 남 서 원","11:30","11:50","N"
